help_id,title,description
1,ゲームの目標,このゲームはキャラクターを強化してダンジョンの最深部を目指すことです。アップデートで新たな最深部が発見されることも・・・！？
2,キャラの育成について,キャラクターはレベル・ランク・スタートアップの３つの強化点を持っています
3,レベルアップ,コインを利用してレベルを上げることができます。レベルを上げることで様々なパラメータが上昇します
4,ランクアップ,ランクは探索で獲得できるアイテムを一定数利用することでステータスを上昇させることができます。３つの装備を揃えると、ジェムを利用して次のランクにアップすることができます。ランクアップによるステータス変化はありません。
5,スターアップ,同キャラのスターピースを利用して、キャラクターを強化することができます。スターピースはガチャで同キャラが重複して獲得した時に発生します。
6,HP,キャラクターの耐久値。0になるとダウンして戦闘から離脱します
7,力,攻撃力に依存します。高ければ高いダメージを与えることができます
8,守,ダメージを軽減します。
9,速,敵の攻撃を一定確率で回避します
10,運,何か良いことが起こりやすくなります。運良く攻撃を回避できたり、当たりどころが良かったり。頼り過ぎに注意
11,魂,高いほどクリティカル攻撃を出しやすくなります
12,心,フロアをまたぐ時、回復するHPの量が増えます。このパラメータはレベルアップでは増えません
13,隊列について,先頭に配置するほど攻撃のターゲットになりやすい。
14,クエストと探索,ゲームが進むと上画面でクエスト、下画面で探索を行います
15,クエストについて,クエストでは戦闘を行い、最深部を目指します。敵を倒すと一定の確率で、コイン、ジェム、チケットを入手できます。
16,探索について,探索ではコインとアイテムを入手することができます。アイテムはどのエリアを探索するかや、クエストの進行具合に依存して出現するアイテムが変わります。
17,パーティーについて,パーティーは冒険中の画面をタップ＞パーティーから変更することができます。クエストと探索でそれぞれどちらのパーティーを変更するか選択できます。
18,パーティー変更時の注意,パーティー変更ではいずれのパーティーにも属していないメンバーとのみ交代可能です。クエスト中のメンバーを探索に回したい場合、一度パーティーから外してください
19,放置要素,ゲームをやめることで、再開時にリソースと経験値を手に入れることができます。
20,経験値,パーティーに編成しているメンバーは、ゲーム外の時間で経験値を獲得します。経験値を獲得すると次回レベルアップに必要なコインが減ります
21,スターピースについて,召喚でキャラを獲得する際、すでに所属しているメンバーの場合に獲得することができます。スターピースは各キャラごとに独立しています。これはスターアップで利用できます。
22,レアモンスターについて,レアモンスターは極稀に出現する強力な敵キャラです。耐久値が段違いなので出くわすと苦労することも！？
